patent_id,source,title,date,assignee,abstract,scraped_at
11381934,USPTO,Aggregation of application and systems for services for 6G or other next generation network,2022-07-05,"AT&T Intellectual Property I, L.P.","In a 6G network, microservices can be utilized in the absence of a core network. For example, after a mobile device has authenticated, when the mobile device moves away from mobile edge computing (MEC) coverage, the information from the MEC can be ported to a new MEC along the way of the mobile device's path. The initial MEC can send service related application package data to one or more neighboring MECs. When a neighboring MEC of the neighboring MECs receives the service related application package data and the neighboring MEC serves the area which the mobile device is transitioning to, then the neighboring MEC can send an acknowledgment back to the initial MEC. Once the acknowledgment is received by the initial MEC, the initial MEC can complete the handover of the application data needed to reduce or mitigate any disruption in service for the mobile device.",2026-02-01
11381965,USPTO,Method and device for setting customized function by means of smart key for vehicles,2022-07-05,"SAMSUNG ELECTRONICS CO., LTD.","The disclosure relates to a 5G or 6G communication system for supporting a higher data transmission rate. A method for an electronic device according to various embodiments of the present invention comprises the steps of: registering user information and user customized setting information to a security server; detecting a relevant vehicle; and performing authentication in the security server by means of the user information if the relevant vehicle is detected, wherein, if the authentication is valid, the user customized setting information registered to the security server is transmitted to the relevant vehicle. However, the present invention is not limited to the above embodiments, and other embodiments are possible.",2026-02-01
11387961,USPTO,Short-form demodulation reference for improved reception in 5G and 6G,2022-07-12,"ULTRALOGIC 6G, LLC","Short-form demodulation references disclosed herein may enable low-cost receivers to demodulate wireless messages while avoiding complex 5G and 6G protocols, thereby enabling a multitude of cost-constrained applications. Despite their small footprint, the short-form demodulation references enable the receiver to determine all of the amplitude and phase levels of the modulation scheme. In addition, noise and interference can be mitigated by embedding short-form demodulation references within longer messages, thereby providing an immediate refresh of the modulation calibrations, enhancing communication reliability, and avoiding costly message faults despite high background interference. Short-form demodulation references disclosed herein can be used as a default standard demodulation reference in 5G and 6G wireless messages.",2026-02-01
11388644,USPTO,Apparatus and method for load balancing in wireless communication system,2022-07-12,"SAMSUNG ELECTRONICS CO., LTD.","A 5th generation (5G) or 6th generation (6G) communication system for supporting higher data rates, compared to that of a 4th generation (4G) communication system such as a long term evolution (LTE) communication system are provided. An apparatus and a method for load balancing in a wireless communication system are provided. The apparatus includes a transceiver, a memory storing one or more instructions, and at least one processor configured to execute the one or more instructions stored in the memory to receive first information about a relation between a base station (BS) and a user equipment (UE) from each of a plurality of BSs, determine, based on the first information, a number of UEs on which handover has to be performed from among UEs served by each of the plurality of BSs, and transmit, to each of the plurality of BSs, priority information determined based on the number of UEs.",2026-02-01
11388719,USPTO,Adaptive beam sweeping for 5G or other next generation network,2022-07-12,"AT&T Intellectual Property I, L.P.","Given real-time user equipment (UE) measurements from an open radio access network (O-RAN) infrastructure, a radio access network intelligent controller (RIC) can compute a UE distribution context space. The O-RAN can comprise gNode-Bs, centralized units, and distributed units. The UE distribution context space computations can be performed by a UE context correlator module of the RIC. The UE context correlator module can also utilize a pre-defined UE context model, which contains definitions and values for various UE context attributes to generate adaptive beam-forming patterns.",2026-02-01
11411612,USPTO,Location-based beamforming for rapid 5G and 6G directional messaging,2022-08-09,"ULTRALOGIC 6G, LLC","In 5G/6G wireless networks, a user device and a base station may transmit and receive messages unidirectionally, using directional antennas, and may thereby provide sufficient reception while saving energy and time. A user device can determine its own location and the location of the base station, calculate an angle toward the base station, and thereby transmit a narrow-beam message to the base station. The message may indicate the user device's location so that the base station can direct its transmission and reception beam toward the user device. The user device and the base station can then transmit and receive messages unidirectionally for improved energy efficiency, improved reception, and reduced interference generation. In addition, a mobile user device can indicate its speed and direction of travel, so that the base station or other user devices can calculate the changing angle and direction toward the other, and may thereby redirect their transmission and reception beams toward the other, without the need for frequent location messages or beam scanning.",2026-02-01
11418279,USPTO,Recovery and demodulation of collided 5G/6G message elements,2022-08-16,"ULTRALOGIC 6G, LLC","In a busy 5G/6G wireless network, message collisions may occur in which an “intruder” signal is transmitted at the same time as a “subject” message, rendering one or more of the subject message elements distorted. Modulation schemes are disclosed in which the corrupted message elements may be recovered, without requesting a retransmission. The modulation states have the property that, if two of the modulation states are combined by superposition, the resulting signal does not resemble any of the modulation states. Hence the receiver can determine, from the received signal, which message elements are collided, and can also identify the original modulation state of the subject message element in many cases. By replacing the collided message elements with the originally intended modulation state, the receiver may demodulate the subject message correctly while avoiding the delays and costs involved in requesting a retransmission, according to some embodiments.",2026-02-01
11418281,USPTO,Error correction by merging copies of 5G/6G messages,2022-08-16,"ULTRALOGIC 6G, LLC","Disclosed are procedures for measuring the modulation quality of each message resource element in a failed 5G or 6G communication, thereby revealing the most likely fault locations in the message. The types of modulation deviations in the low-quality message elements can provide further guidance as to the correct demodulation. In addition, after receiving a second copy, the copies can be merged by selecting the highest quality message elements from each version, where the quality is related to how far each message element's modulation deviates from the calibrated “states” of the modulation scheme. The receiver may also determine directional information based on the modulation of each message element, and may compare versions to determine the most likely correct state of each message element. Such strategies may directly recover the original message, or may greatly reduce the number of variations that need to be tested. When implemented, fault mitigation as disclosed herein can resolve message failures, improve communication reliability, reduce latency, and improve network operations overall, according to some embodiments.",2026-02-01
11425744,USPTO,Cascaded scheduling requests for resource-efficient 5G and 6G,2022-08-23,"ULTRALOGIC 6G, LLC","In a 5G or 6G wireless network, a user device that wishes to transmit an uplink message must first transmit a scheduling request to the base station, generally in an allocated time-frequency region sized according to the number of user devices. In general, most of the user devices are not requesting access most of the time, and therefore most of the allocated region is blank. To reduce the amount of wasted resources, the base station can divide the user devices into sections, and allow the user devices to indicate which sections include at least one ready user device. Then, the base station can allocate a much smaller region containing only those indicated sections, and the ready user devices can send their requests in that smaller region. The base station can then determine which user devices request access, provide them with grants, and receive their messages. By avoiding allocating scheduling-request resources to sections that have no waiting messages, the base station may save time and avoid wasting limited resources, according to some embodiments.",2026-02-01
11438033,USPTO,Location-based power for high reliability and low latency in 5G/6G,2022-09-06,"ULTRALOGIC 6G, LLC","In 5G/6G wireless networks, user devices and base stations may adjust their transmission power according to the distance to the recipient, and thereby provide sufficient reception without wasting energy or generating interference. User devices can determine their own location by GPS, for example, and transmit that data to the base station so that the base station can adjust its downlink power accordingly. Likewise. base stations can transmit their location coordinates to user devices in, for example, a system information message. Sidelink, or V2V and V2X, messages can likewise be power-adjusted after user devices exchange their location coordinates. Mobile user devices can also indicate their speed and direction of travel, so that the base station or other user devices can calculate the changing distance and compensate power accordingly. The method may enhance reliability by providing that messages arrive at the recipient with sufficient amplitude for reception, and may provide low latency by avoiding the time-consuming power scan, while avoiding delays for retransmissions and the like.",2026-02-01
11438834,USPTO,Searchable database of 5G/6G network access information,2022-09-06,"ULTRALOGIC 6G, LLC","To send a message on a 5G or 6G network, a prospective user device must first perform a time-consuming and uncertain “blind search”, followed by a complex series of steps. Disclosed herein is a “network database”, a compendium of parameters about each base station, organized and searchable regionally, to simplify network access by providing the locations and connection information of base stations proximate to a prospective user before first contact. The database may be publicly accessible and downloadable for off-line use, and searchable by location to find the closest available base station. Compared with 5G/6G protocols, the network database may provide a simpler and quicker way to access local base stations. This is a great advantage in situations when even one-thousandth of a second can mean the difference between life and death, such as in roadway collision avoidance and harm minimization, and in situations involving V2X vehicle interconnectivity.",2026-02-01
11438961,USPTO,Cascaded polling for resource-efficient low-complexity 5G/6G DRX,2022-09-06,"ULTRALOGIC 6G, LLC","Procedures are disclosed for alerting user devices in a 5G/6G network that they have an incoming message, and for enabling those user devices to request their messages in a low-complexity, resource-conserving manner. A user device that uses DRX (discontinuous reception) may be unavailable when a message arrives, in which case the base station may store the message. Periodically, the base station can transmit a polling message that indicates which of the user devices currently has a message on hold. In addition, the base station can allocate an uplink reply region in which those user devices can request their messages without contention. Various versions are disclosed, involving cascaded addressing, sectioning, modulation, and/or identification using network-assigned codes. The compact polling format may enable both small and large networks to accommodate DRX users, with minimal resource usage, according to some embodiments.",2026-02-01
11463296,USPTO,Error correction by merging copies of PAM-modulated 5G/6G messages,2022-10-04,"ULTRALOGIC 6G, LLC","Disclosed are procedures for measuring the modulation quality of each message resource element in a failed 5G or 6G communication modulated according to pulse-amplitude modulation, thereby revealing the most likely fault locations in the message. A second copy of the message can be merged by selecting the highest quality message elements from each version, where the quality is related to how far each message element's modulation deviates from the calibrated “states” of the modulation scheme. The receiver may also determine directional information based on the modulation of each message element, and may compare versions to determine the most likely correct state of each message element. Such strategies may directly recover the original message, or may greatly reduce the number of variations that need to be tested. When implemented, fault mitigation as disclosed herein can resolve message failures, improve communication reliability, reduce latency, and improve network operations overall, according to some embodiments.",2026-02-01
11496933,USPTO,Method and apparatus for updating handover parameters in open-radio access network (O-RAN) environment,2022-11-08,Sterlite Technologies Limited,"The present invention discloses a method and apparatus for identifying handover requirement by a Radio access network (RAN) controller in open RAN (O-RAN) environment. The O-RAN environment has a virtualized network architecture having at least one RAN controller that is able to control, via an E2 node, a plurality of user equipments (UEs) positioned in a serving cell, a cell covering a location for serving a UE, the serving cell is adjacent to a plurality of neighbour cells. The method includes parallel execution of the operations performed by the RAN controller for each serving cell and each of the neighbor cell and updating CIOs in stepwise i.e., gradually with repeated comparing of the serving cell load parameter with each of the plurality of neighbour cell load parameters and updating the serving cell handover parameter and the plurality of neighbour cell handover parameters based on the comparison.",2026-02-01
11497050,USPTO,Smart repeater systems,2022-11-08,"Pivotal Commware, Inc.","A system for 5G radio access networks, that enables smart RF signal repeater devices to perform many of the functions of a 5G base station to extend millimeter wave coverage for 5G communication networks while reducing costs, increasing versatility and optimizing coverage for user devices (UEs). The devices may include outdoor network repeaters and indoor subscriber repeaters, and other mmWave network transmitter devices in a mmWave network. Different types of 5G wireless communication networks may be employed including Open Radio Access Network (O-RAN), and Next Gen Radio Access Network (NG-RAN).",2026-02-01
11502893,USPTO,Short-form 5G/6G pulse-amplitude demodulation references,2022-11-15,"ULTRALOGIC 6G, LLC","Short-form pulse-amplitude demodulation references disclosed herein may enable low-cost receivers to demodulate wireless messages while avoiding complex 5G and 6G protocols, thereby enabling a multitude of cost-constrained applications. Despite their small footprint, the short-form pulse-amplitude demodulation references enable the receiver to determine all of the amplitude levels of the modulation scheme, including the effects of noise and interference. Mitigation of noise and interference can therefore be provided by embedding short-form pulse-amplitude demodulation references within longer messages, thereby providing an immediate refresh of the modulation calibrations, enhancing communication reliability, and avoiding costly message faults despite high background interference. Short-form pulse-amplitude demodulation references disclosed herein can be used as a default standard demodulation reference in 5G and 6G wireless messages.",2026-02-01
11503087,USPTO,Method and apparatus for processing immersive media,2022-11-15,"SAMSUNG ELECTRONICS CO., LTD.","The disclosure relates to a fifth generation (5G) communication system or a sixth generation (6G) communication system for supporting higher data rates beyond a fourth generation (4G) communication system such as long term evolution (LTE). The disclosure provides rendering of fisheye 360 degree video contents, including fisheye circular image videos. A method of a transmitting device is provided. The method includes transmitting, to a receiving device, a Session Description Protocol (SDP) offer message for negotiation of parameter associated with a fisheye image, and receiving, from the receiving device, a fisheye SDP answer message including second fisheye image related information generated based on first fisheye image related information included in the SDP offer message. wherein the first fisheye image related information includes first maximum packing information indicating a maximum number of fisheye images that is available to be packed into one stream.",2026-02-01
11503651,USPTO,Apparatus and method for transmitting and receiving asynchronous signal in wireless communication system,2022-11-15,"SAMSUNG ELECTRONICS CO., LTD.","The present disclosure relates to a communication method and system for converging a 5th-generation (5G) communication system or a 6th-generation (6G) communication system for supporting higher data rates beyond a 4th-generation (4G) system. The disclosure relates to an operating method of a terminal in a wireless communication system. The method may include: receiving configuration information about a plurality of signatures for non-orthogonal multiple access (NOMA) from a base station, the plurality of signatures including first signatures and second signatures; identifying a first signature sequence for the terminal, based on the configuration information; and transmitting data, configured based on the identified first signature sequence, to the base station, wherein the first signature sequence may be configured by repeating the first signatures, and the first signatures may be respectively applied to consecutive symbols of the data.",2026-02-01
11516801,USPTO,Method and apparatus for sharing frequency resources between mobile communication providers in wireless communication system,2022-11-29,"SAMSUNG ELECTRONICS CO., LTD.","The disclosure relates to a communication method and system for converging a 5th-Generation (5G) communication system or a 6th-Generation (6G) communication system for supporting higher data rates beyond a 4th-Generation (4G) system. A method of communicating with a user equipment by using a frequency resource of a second mobile communication provider in a mobile communication system, the method being performed by a first base station of a first mobile communication provider is provided. The method includes requesting to permit the first base station to use a second frequency resource of the second mobile communication provider, transmitting, to the user equipment, setting information, for establishing communication using the second frequency resource of the second mobile communication provider, through a first frequency resource of the first mobile communication provider, and communicating with the user equipment through the second frequency resource, based on the setting information.",2026-02-01
11523334,USPTO,"Network database for rapid, low-complexity 5G/6G network access",2022-12-06,"ULTRALOGIC 6G, LLC","Disclosed are faster, simpler procedures for finding and registering on a 5G or 6G network. First, a prospective user device determines, from a searchable network database of system information, which base station is closest to the user device, and whether the base station is accepting new users. The user device also determines, from the network database, system information about the base station including frequencies of the base station's broadcast channel and random access channel, and like parameters. Then, the user device can synchronize its clock and timing by detecting any message transmitted on the broadcast or random access channel, or by locking to an external time-base such as a navigation satellite timing signal. The user device can then transmit an entry message, such as a random access preamble, or other type of message requesting entry into the network. Many other aspects and advantages of rapid network access are disclosed.",2026-02-01
11533084,USPTO,Automatic adjustment of transmission power for 5G/6G messaging,2022-12-20,"ULTRALOGIC 6G, LLC","Automatic adjustment of the transmission power, of 5G and 6G wireless messages, is necessary for efficient energy utilization and minimizing background generation, especially in high-density communication environments. However, the power level needed for adequate reception is a complex compromise among competing factors related to network performance, message features, and constantly changing noise/interference backgrounds. Disclosed are artificial intelligence systems and methods configured to determine an appropriate power level for communications. The AI model is trained to account for a wide range of conditions in real-time. For field use, an algorithm derived from the AI model, may be simplified and reduced in size to be appropriate for mobile user devices. The base station may prepare a map of signal attenuation factors, noting especially the “dead zones” of poor reception, and increase the transmission power whenever a mobile user device enters such a location. Many other aspects are disclosed.",2026-02-01
11539571,USPTO,In-phase and quadrature-phase impairments compensation in sub-terahertz communication,2022-12-27,QUALCOMM Incorporated,"IQ impairments compensation in sub-terahertz (sub-THz) communication is disclosed. According to some aspects, a user equipment (UE) determines an estimated in-phase (I) and quadrature phase (Q) impairment of the UE, the IQ impairment of the UE comprising a mismatch of phase and/or amplitude, between an I path and a Q path within an analog receiver circuitry of the UE, and reports the estimated IQ impairment of the UE to a base station (BS). The BS determines a pre-compensation to compensate for the estimated IQ impairment of the UE and uses the determined pre-compensation when transmitting to the UE.",2026-02-01
11576019,USPTO,Smart cascading security functions for 6G or other next generation network,2023-02-07,"AT&T Intellectual Property I, L.P.","In a 6G network, microservices can be utilized in the absence of a core network. For example, after a mobile device has authenticated, through its carrier network, with a transport service layer, microservices can be allocated to the mobile device without having to be transmitted via the core network. Thus, removing the core network from the process can generate a direct line of microservices from the transport layer to the end-user. Furthermore, additional microservices and/or resources can be access through a microservices library. Consequently, packets can be securely transmitted be a wireless network facilitating sending packet profile data from one to many node devices in anticipation of the packet traversing the various node devices.",2026-02-01
11576119,USPTO,Method and apparatus for power control for network energy optimization,2023-02-07,"SAMSUNG ELECTRONICS CO., LTD.","The disclosure relates to a 5G communication system or a 6G communication system for supporting higher data rates beyond a 4G communication system such as long term evolution (LTE). The disclosure relates to a technique for controlling a base station power using an artificial intelligence based technology to improve an energy efficiency of a communication network. A method performed by a base station of a communication system according to an embodiment of the disclosure may include acquiring state information, determining an active/sleep request indicator (ASRI) based on at least a part of the state information, transmitting at least one of the state information and the ASRI to a central unit, receiving, from the central unit, power control information determined based on the at least one of the state information and the ASRI, and performing a power control based on the received power control information.",2026-02-01
11588240,USPTO,Millimeter-wave scalable PLL-coupled array for phased-array applications,2023-02-21,The Regents of the University of California,"Techniques, systems and architectures for generating desired phase shifts in a phased array to control the directions of radiation in a wide range of angles are disclosed. Particularly, phased array architectures based on novel PLL-coupled phase shifting techniques for implementation in millimeter-wave (mm-wave) and sub-terahertz (sub-THz) operations range are described. In one aspect, a phased array including an array of unit cells is disclosed. In some embodiments, each unit cell in the array of unit cells includes a dual-nested PLL that is configured to effectuate phase locking and frequency locking to a reference signal from an adjacent unit cell. Moreover, each PLL includes control circuitry that can generate a wide range of phase shifts between adjacent unit cells to facilitate phased-array operations. Note that using the dual-nested PLL to generate a desired phase shift between adjacent radiating elements eliminates the use of conventional lossy phase shifters in the phased array.",2026-02-01
11588671,USPTO,Cyclic prefix (CP) detection and removal in a wireless communications system (WCS),2023-02-21,CORNING RESEARCH & DEVELOPMENT CORPORATION,"Cyclic prefix (CP) detection and removal in a wireless communications system (WCS) is disclosed. More specifically, embodiments disclosed herein relate to removing a CP(s) from a random-access symbol(s) in an open radio access network (O-RAN) communications system in the WCS. The random-access symbol(s) includes the CP followed by a random-access sequence. As such, the CP must be removed before the random-access sequence can be detected and processed. In this regard, in embodiments disclosed herein, the O-RAN communications system is configured to determine a group delay associated with the random-access symbol(s) to thereby accurately determine a start of the CP in the random-access symbol(s). Accordingly, the O-RAN communications system can detect and remove the CP from the random-access symbol(s) based on the determined start of the CP. As a result, it is possible to preserve integrity of the random-access symbol(s) to thereby reduce random-access latency in the WCS.",2026-02-01
11595170,USPTO,Method and apparatus for designing and operating multi-dimensional constellation,2023-02-28,"SAMSUNG ELECTRONICS CO., LTD.","In a 5G communication system or a 6G communication system for supporting higher data rates beyond a 4G communication system such as long term evolution (LTE), a method of a first terminal in a wireless communication system is disclosed and may include performing channel measurement, based on one or more first reference signals received from a base station; identifying channel distribution information between the first terminal and the base station, based on the measured channel; selecting one or more representative channel vectors (RCVs), based on the identified channel distribution information; generating one or more constellations corresponding to the selected one or more RCVs; transmitting constellation set information including the generated one or more constellations to the base station; and performing communication with the base station, based on the generated one or more constellations.",2026-02-01
11606691,USPTO,Context-based security over interfaces in O-RAN environments in mobile networks,2023-03-14,"Palo Alto Networks, Inc.","Techniques for applying context-based security over interfaces in O-RAN environments in mobile networks are disclosed. In some embodiments, a system/process/computer program product for applying context-based security over interfaces in O-RAN environments in mobile networks includes monitoring network traffic on a mobile network at a security platform to identify a GTP-U tunnel session setup message associated with a new session; extracting a plurality of parameters from the GTP-U tunnel session setup message and from F1AP traffic to extract contextual information at the security platform; and enforcing a security policy at the security platform on the new session based on one or more of the plurality of parameters to apply context-based security to the network traffic transported between O-RAN Distributed Unit (O-DU) and O-RAN Centralized Unit Control Plane (O-CU-CP) nodes in an O-RAN environment in the mobile network.",2026-02-01
11611375,USPTO,Location-based system information and doppler correction in 5G/6G,2023-03-21,"ULTRALOGIC 6G, LLC","A base station of a 5G/6G network can include its location coordinates in the SSB system information message which is broadcast on a standard frequency periodically. A mobile user device can receive the SSB and thereby determine the base station location. Thereafter, the user device can measure its own location, speed, and direction of travel, and thereby calculate a Doppler frequency correction before transmitting a message to the base station, thus causing the base station to receive the message at the expected standard frequency. In addition, the user device can calculate, based on the location of the base station relative to the direction of travel of the mobile user device, a particular frequency at which downlink messages from the base station will be received. In addition, the user device can pre-emptively adjust its transmission frequency when changing speed or direction, thereby avoiding wasteful frequency-correction messages from the base station.",2026-02-01
11612016,USPTO,Fronthaul interface for advanced split-radio access network (RAN) systems,2023-03-21,COMMSCOPE TECHNOLOGIES LLC,One embodiment is directed to a system comprising a distributed unit (DU) and a plurality of remote units (RUs) to wirelessly transmit and receive radio frequency signals to and from the user equipment using a wireless interface. The DU and RUs are communicatively coupled to each other over a fronthaul and are configured to communicate over the fronthaul using an O-RAN fronthaul interface. The DU and RUs are configured to communicate O-RAN control-plane and user-plane messages that include a new O-RAN section extension for use in communicating different section data to different RUs. Other embodiments are disclosed.,2026-02-01
11627558,USPTO,Supporting multi-signal source communications in a distributed communications system,2023-04-11,CORNING RESEARCH & DEVELOPMENT CORPORATION,"Supporting multi-signal source communications in a distributed communications system (DCS) is disclosed. The DCS includes a routing circuit configured to route downlink and uplink communications signals between multiple signal sources and a number of remote units. In examples disclosed herein, the routing circuit and each of the remote units are functionally divided based on an open radio access network (O-RAN) Split 7.2 configuration. To support downlink communications from multiple signal sources, the routing circuit generates a downlink frequency-domain communications signal, which includes one or more selected logical channels associated with one or more of the multiple signal sources, for each of the remote units in the DCS. Accordingly, each remote unit converts the downlink frequency-domain communications signal into a downlink time-domain communications signal for transmission in a downlink radio frequency (RF) communications signal. As such, it may be possible to improve scalability while reducing cost and space of the DCS.",2026-02-01
11633122,USPTO,Portable sub-THz and THz radar system for remote physiological parameters detection and method with harmonic and fundamental components,2023-04-25,NETEERA TECHNOLOGIES LTD.,"The present invention provides a method and a portable non-invasive sub-THz and THz (THz) radar system for remotely detecting physiological parameters of a subject, comprising: one or more transmission means for transmitting THz signals to a subject predefined tissue; one or more reception means for receiving a THz signal of the subject, the THz signals being a reflection of the THz signal from subject tissue thereby, receiving at least one physiological parameter change; and microprocessor means coupled and configured to communicate with the transmitter means and/or the reception means for receiving and processing the reflected signals. The microprocessor comprising instructions of pre-treatment and folding the reflected signals; filtering and decimating selected portions of the folded signals and removing folded segments; decomposing of the decimated signal s into sub-component signals: identifying and removing sub-component signals due to random motions; locating quasi-periodic signal information from the remaining sub-component signals thereby, determining at least one physiological parameter of the subject based upon the quasi-periodic signal information components.",2026-02-01
11638326,USPTO,Systems and methods for radio unit backup connections,2023-04-25,DISH Wireless L.L.C.,"When a failed connection is detected from a first radio unit (RU) to the cellular site router (CSR), activation of an existing backup cabled connection from the first RU to the CSR through a cabled connection between the first RU and a second RU of the cellular telecommunications tower may be performed. In one example, a first RU and second RU each have two physical network ports. The activation of the existing backup cabled connection from the first RU, via the second RU, to the CSR may include causing the first RU to enter from a normal operating mode into an Open Radio Access Network (O-RAN) cascade operating mode to attempt to attain network connectivity for the first RU using the second physical network port of the first RU.",2026-02-01
